year,average_temperature_c,number_of_observations
2005.0,14.730552007123315,243368
2006.0,14.648758229805495,312361
2007.0,14.789909593171826,268340
2008.0,14.981271741694899,263136
2009.0,15.00443350976297,182210
2010.0,14.910159705577321,171583
2011.0,10.895146876283887,499275
2012.0,9.503281741140192,1153291
2013.0,13.199685809866352,1177936
2014.0,13.099184283431901,724840
2015.0,13.363539903601149,916606
