year,depth_bin,average_temperature_c,average_latitude,average_longitude,data_points_count
2005.0,0-50 dbar (Surface),27.97227662816414,2.477590456391414,76.05221137110841,20684
2005.0,1000+ dbar (Deep-Ocean),4.53647334834835,2.3055824259790016,75.98977440305669,15705
2005.0,200-1000 dbar (Mid-Ocean),10.805821874266682,2.3512659335512196,75.91871399980927,93937
2005.0,50-200 dbar (Shallow),19.52251546939865,2.5014017579829875,76.07014559184708,49261
2005.0,Unknown,,4.090002963264916,75.02426642730718,63781
2006.0,0-50 dbar (Surface),27.93544974815964,2.8017997353997317,76.15514564354571,26455
2006.0,1000+ dbar (Deep-Ocean),4.608383686735801,4.166296115865679,77.90718319069576,22785
2006.0,200-1000 dbar (Mid-Ocean),10.906912794283317,2.494763324240833,75.87792575502796,122446
2006.0,50-200 dbar (Shallow),19.586222465471213,2.5622881277371796,75.9873711600556,62566
2006.0,Unknown,,3.1635296188659914,74.73934358396583,78109
2007.0,0-50 dbar (Surface),28.045453404482366,4.101061588008437,76.40249743548998,25151
2007.0,1000+ dbar (Deep-Ocean),4.735836200378071,5.773879308321282,77.29016779468746,25561
2007.0,200-1000 dbar (Mid-Ocean),11.057040134244168,3.5548397033760804,76.01849296669812,108555
2007.0,50-200 dbar (Shallow),20.103410692796984,3.672029194093577,76.25702072584984,56210
2007.0,Unknown,14.895,1.8643941698352529,74.43027813404375,52863
2008.0,0-50 dbar (Surface),28.21729857103594,6.408200183024466,78.39889460840324,26226
2008.0,1000+ dbar (Deep-Ocean),4.747121697154471,6.179648834512811,76.33821482547631,25011
2008.0,200-1000 dbar (Mid-Ocean),11.05306127878178,6.263363187158023,78.09268792485636,108272
2008.0,50-200 dbar (Shallow),20.640629139660792,6.257839907611209,78.45605139124541,55418
2008.0,Unknown,18.7156,5.238420357194693,77.33358480781483,48209
2009.0,0-50 dbar (Surface),28.497355115297125,6.520580180645115,77.85736418064484,19375
2009.0,1000+ dbar (Deep-Ocean),4.754456167943108,6.257381165429906,75.7304752291572,18328
2009.0,200-1000 dbar (Mid-Ocean),10.89580537550289,6.128425447788402,77.42947422248366,71574
2009.0,50-200 dbar (Shallow),20.674488310511848,6.329907408386722,77.82150367511015,37822
2009.0,Unknown,17.850857142857144,7.458410982313145,78.48994634160303,35111
2010.0,0-50 dbar (Surface),28.329179536332557,4.175217301431439,76.16363097514349,19351
2010.0,1000+ dbar (Deep-Ocean),4.754865332344942,6.91657428978024,77.10103568228494,18973
2010.0,200-1000 dbar (Mid-Ocean),10.671591021523247,3.9266720195889895,76.02817415274612,66568
2010.0,50-200 dbar (Shallow),20.466642983201456,3.7663375720029744,76.16818997935026,36804
2010.0,Unknown,8.062,1.1612964834208275,75.15895466256163,29887
2011.0,0-50 dbar (Surface),26.52183548096225,-0.5482129115556953,78.12548964670859,36081
2011.0,1000+ dbar (Deep-Ocean),4.483237488304211,9.488100624788995,84.71806296148958,162763
2011.0,200-1000 dbar (Mid-Ocean),9.656687671773405,6.625574171190191,82.05721541675265,182727
2011.0,50-200 dbar (Shallow),19.656748684340926,0.26587854127813076,79.15522213489857,84641
2011.0,Unknown,28.957,-1.7278843667298742,72.84366203504372,33063
2012.0,0-50 dbar (Surface),26.28915545235333,-0.17424502567029987,79.91698005628459,56656
2012.0,1000+ dbar (Deep-Ocean),4.5233099221700455,10.573007037496273,85.83607810508062,478670
2012.0,200-1000 dbar (Mid-Ocean),9.483055332385723,9.167691764059068,84.86491270295927,429489
2012.0,50-200 dbar (Shallow),19.62941188759336,1.8795354330145377,81.16140719890865,144291
2012.0,Unknown,10.019833333333331,6.038488367075754,80.68134146376174,44185
2013.0,0-50 dbar (Surface),26.182107638619556,-0.3220770183014279,80.3793147122232,64553
2013.0,1000+ dbar (Deep-Ocean),4.406607778949685,2.6601193407577246,81.92961768103596,150971
2013.0,200-1000 dbar (Mid-Ocean),9.888952950419943,2.4113864065372277,81.32197270702935,177667
2013.0,50-200 dbar (Shallow),20.30302554272514,1.5786901979517018,81.39575985604215,151753
2013.0,Unknown,2.773857142857143,13.319861702875261,87.50373639767007,632992
2014.0,0-50 dbar (Surface),25.719135727227826,-4.731100269590599,76.66443899961543,54790
2014.0,1000+ dbar (Deep-Ocean),4.357687005073371,-4.538352853985015,74.554742369232,109853
2014.0,200-1000 dbar (Mid-Ocean),9.689574735998777,-4.588410591280501,75.0812651145555,131085
2014.0,50-200 dbar (Shallow),19.165365854669407,-3.010292983816401,77.44515860668064,118374
2014.0,Unknown,2.7917857142857145,10.201183428408983,84.41748338791494,310738
2015.0,0-50 dbar (Surface),25.175143475361633,-4.180282460229969,76.30715271615499,73618
2015.0,1000+ dbar (Deep-Ocean),4.348435672765054,-5.976683612892713,75.04505444771479,109852
2015.0,200-1000 dbar (Mid-Ocean),9.858210236951049,-4.044811624968249,76.2291446460086,227509
2015.0,50-200 dbar (Shallow),18.831844919712733,-2.7062384336852965,76.06253974345945,167893
2015.0,Unknown,20.61637121212122,12.401528928477626,70.86918054527409,337734
